LATITUDE,LONGITUDE,reef.alias,Water_Samples,Region,Subregion,Season,waterYear,Date,Mnth,DOC
-16.1084167,145.4827333,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2019-10-21,10,828.25850163
-16.1115167,145.4833333,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2007-10-14,10,568.7455626325
-16.1116036,145.4833088,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2014,2014-02-05,2,878.4685053149999
-16.1116408,145.4805625,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-09-24,9,878.0750399687498
-16.1116667,145.4816667,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2019-02-08,2,833.2631550274998
-16.1116667,145.4816667,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2021,2021-02-15,2,993.009425
-16.1118386,145.4838227,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2010,2010-03-04,3,832.2411190191666
-16.1118757,145.4839167,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2010-06-27,6,890.1195056175
-16.1119338,145.4848565,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-07-03,7,941.67751884625
-16.1123333,145.4835,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2016-10-24,10,857.9889395725
-16.112431,145.4824438,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2015,2015-02-19,2,932.950161095
-16.112442,145.4835853,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2011-06-21,6,909.91034560625
-16.1126088,145.4844351,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2008-10-12,10,665.5128747649999
-16.1126667,145.4835,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2021-10-03,10,841.1903849999999
-16.1127416,145.4844179,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2013-10-12,10,787.2063299362501
