WEEK,TREATMENT,DITCH,BINITENT,OLCHAETA,CAENHORA,CLOEDIPT,CHAOOBSC,GAMMPULE,LIBELLAE,AGDASPHR
-4,0.1,1,1,6,133,446,1,0,0,0
-4,0,2,0,15,62,420,3,0,1,2
-4,0,3,6,24,50,151,5,0,0,0
-4,0.9,4,0,59,119,331,1,0,0,0
-4,0,5,0,0,133,442,4,0,0,4
-4,44,6,12,5,128,472,1,3,0,0
-4,6,7,0,2,122,311,4,0,0,0
-4,0.1,8,1,15,214,388,1,0,0,0
-4,44,9,1,8,6,285,1,1,0,1
-4,0.9,10,15,5,15,363,0,1,0,22
-4,0,11,0,11,97,408,5,1,0,4
-4,6,12,2,57,92,297,2,0,0,0
-1,0.1,1,0,37,475,526,3,0,0,2
-1,0,2,0,3,600,175,2,0,0,3
-1,0,3,23,32,364,179,3,0,0,0
-1,0.9,4,0,12,333,296,2,0,2,0
-1,0,5,0,0,608,501,4,1,0,1
-1,44,6,8,2,460,509,4,1,0,1
-1,6,7,1,1,416,294,3,0,0,2
-1,0.1,8,0,5,659,467,2,0,0,1
-1,44,9,4,0,428,388,1,0,0,0
-1,0.9,10,5,1,268,396,3,0,0,8
-1,0,11,0,0,368,547,8,1,0,3
-1,6,12,4,225,849,283,1,1,0,0
0.1,0.1,1,0,23,206,417,5,0,0,0
0.1,0,2,0,78,342,138,4,0,0,0
0.1,0,3,8,186,55,83,6,0,0,0
0.1,0.9,4,0,224,124,136,3,0,0,0
0.1,0,5,1,15,324,551,5,0,0,1
0.1,44,6,17,53,11,13,0,0,0,0
0.1,6,7,0,96,112,75,1,0,0,2
0.1,0.1,8,5,46,231,419,2,0,0,0
0.1,44,9,5,115,21,3,0,0,0,0
0.1,0.9,10,10,92,347,85,2,1,0,1
0.1,0,11,2,1,357,420,6,1,0,0
0.1,6,12,3,117,32,7,1,0,0,0
1,0.1,1,2,15,315,301,7,0,0,0
1,0,2,0,103,153,111,3,0,0,0
1,0,3,11,18,87,90,3,0,0,0
1,0.9,4,0,67,150,92,2,0,0,0
1,0,5,84,4,536,620,11,0,0,0
1,44,6,40,12,0,0,0,0,0,0
1,6,7,2,58,0,0,0,0,0,4
1,0.1,8,3,57,179,473,1,0,0,0
1,44,9,4,26,0,0,0,0,0,0
1,0.9,10,10,173,19,6,1,0,0,7
1,0,11,0,1,201,381,3,5,0,2
1,6,12,9,46,0,0,0,0,0,1
2,0.1,1,1,1,179,223,10,1,0,0
2,0,2,0,99,200,101,6,0,0,0
2,0,3,16,77,200,86,6,0,0,0
2,0.9,4,0,4,59,55,2,0,3,0
2,0,5,0,3,336,322,9,0,0,2
2,44,6,25,34,0,0,0,0,0,0
2,6,7,1,150,1,1,0,0,0,0
2,0.1,8,4,7,79,184,2,0,0,0
2,44,9,6,15,5,0,0,0,0,0
2,0.9,10,14,176,27,2,0,0,0,6
2,0,11,0,42,255,226,3,2,0,0
2,6,12,10,12,0,0,1,0,0,0
4,0.1,1,8,1,227,130,10,0,0,1
4,0,2,0,18,320,86,7,0,0,0
4,0,3,6,28,162,36,4,0,0,0
4,0.9,4,0,40,160,36,3,0,0,0
4,0,5,1,1,470,237,12,0,0,2
4,44,6,6,145,0,0,0,0,0,0
4,6,7,0,348,0,0,0,0,0,0
4,0.1,8,9,40,163,283,1,0,0,0
4,44,9,5,42,0,0,0,0,0,0
4,0.9,10,9,42,36,1,2,0,0,2
4,0,11,0,6,251,243,4,4,0,1
4,6,12,14,105,0,0,0,0,0,0
8,0.1,1,0,15,55,44,8,1,0,1
8,0,2,0,69,103,23,5,2,0,0
8,0,3,14,191,65,18,3,1,0,0
8,0.9,4,0,23,53,12,4,0,0,0
8,0,5,2,9,224,423,8,3,0,1
8,44,6,6,326,0,1,1,0,0,0
8,6,7,1,74,0,337,3,0,0,0
8,0.1,8,4,23,123,132,5,1,0,0
8,44,9,31,278,1,0,0,0,0,0
8,0.9,10,10,20,150,120,5,0,0,0
8,0,11,0,1,131,324,4,9,0,3
8,6,12,25,214,2,14,2,0,0,0
12,0.1,1,9,42,67,84,3,0,0,0
12,0,2,0,23,115,58,4,7,0,0
12,0,3,28,285,51,71,4,2,0,0
