NOFISH,LIVEBAIT,CAMPER,PERSONS,CHILD,XB,ZG,COUNT
1,0,0,1,0,-0.896314561,3.050404787,0
0,1,1,1,0,-0.55834496,1.746148944,0
0,1,0,1,0,-0.401731014,0.279938877,0
0,1,1,2,1,-0.956298113,-0.601525664,0
0,1,0,1,0,0.43689096,0.527709126,1
0,1,1,4,2,1.394485474,-0.70753479,0
0,1,0,3,1,0.184716746,-3.398022175,0
0,1,0,4,3,2.329106569,-5.450901508,0
1,0,1,3,2,0.188386485,-1.527417779,0
0,1,1,1,0,0.287689924,1.3938905,1
0,1,0,4,1,1.99095273,-1.933189988,0
0,1,1,3,2,1.317893147,-2.471574545,0
1,0,0,3,0,0.298041672,1.591265202,1
0,1,0,3,0,1.290873408,0.829534888,2
0,1,1,1,0,-0.06088984,2.82057929,0
1,1,1,1,0,0.370049208,2.158344984,1
0,1,0,4,1,1.979093432,-3.069952726,0
1,1,1,3,2,0.715337098,-1.952804923,0
0,1,1,2,1,1.516053081,-0.186567351,1
0,1,0,3,1,-0.034895968,-0.118922494,0
0,1,0,4,1,1.178230286,0.001856566,1
0,1,1,4,0,1.642111778,1.892821312,5
0,1,1,2,1,0.597727358,-0.294278145,0
0,1,1,2,0,1.139723063,1.931791067,3
0,1,1,3,0,3.500297546,1.451270819,30
0,1,1,2,0,-0.789978385,2.817448616,0
0,1,1,4,0,2.662356138,1.656562567,13
0,1,0,2,1,1.606172442,-1.064542532,0
0,1,0,1,0,0.01855018,0.080798268,0
0,1,0,4,3,3.034559011,-4.824044704,0
0,1,0,1,0,0.051000755,0.921823859,0
0,1,1,3,1,0.745258808,-0.663867116,0
0,1,1,4,0,2.453136683,3.508367777,11
0,1,1,4,1,2.352706671,0.176609725,5
0,1,1,1,0,-1.108257532,0.772088408,0
1,0,0,2,0,0.515419424,1.656657577,1
1,1,1,2,1,1.982768536,-0.642237127,1
1,1,1,4,1,2.066855907,1.244507432,7
1,1,1,3,1,0.095011771,-2.268660784,0
