ID,TimeOfDay,Date,StartDate,Mass,Day,TOD,Dist_moved,Dist
A39,09:28:32,6/03/2018,27-Feb-18,0.066,7,0.39,3439.93,58.650916446377884
A3,09:28:32,6/03/2018,27-Feb-18,0.072,7,0.39,2795.08,52.868516150919156
A13,09:28:32,6/03/2018,27-Feb-18,0.105,7,0.39,5258.79,72.51751512565775
A23,09:28:32,6/03/2018,27-Feb-18,0.08,7,0.39,3402.74,58.33300952291078
A59,09:28:32,6/03/2018,27-Feb-18,0.077,7,0.39,7672.66,87.59372123617081
A69,09:28:32,6/03/2018,27-Feb-18,0.092,7,0.39,2400.66,48.996530489413225
A41,09:28:32,6/03/2018,27-Feb-18,0.073,7,0.39,3013.74,54.8975409285334
A9,10:01:20,6/03/2018,27-Feb-18,0.075,7,0.42,1733.47,41.63496127054762
A35,10:01:20,6/03/2018,27-Feb-18,0.09,7,0.42,5061.38,71.14337636069854
A25,10:01:20,6/03/2018,27-Feb-18,0.077,7,0.42,6510,80.68457101577724
A53,10:01:20,6/03/2018,27-Feb-18,0.073,7,0.42,4949.44,70.35225653808128
A47,10:33:07,6/03/2018,27-Feb-18,0.081,7,0.44,258.683,16.08362521324095
A37,10:33:07,6/03/2018,27-Feb-18,0.114,7,0.44,2119.37,46.03661586172468
A51,10:33:07,6/03/2018,27-Feb-18,0.104,7,0.44,4325.77,65.77058613088377
A7,10:33:07,6/03/2018,27-Feb-18,0.09,7,0.44,5418.47,73.61025743739795
A1,10:33:07,6/03/2018,27-Feb-18,0.061,7,0.44,4163.13,64.52232171892143
A61,10:33:07,6/03/2018,27-Feb-18,0.085,7,0.44,1188.64,34.47665877082639
A79,11:05:17,6/03/2018,27-Feb-18,0.09,7,0.46,8721.21,93.38741885286261
A45,11:05:17,6/03/2018,27-Feb-18,0.061,7,0.46,7235.41,85.06121325257476
A17,11:05:17,6/03/2018,27-Feb-18,0.083,7,0.46,4599.33,67.81836034585325
A43,11:05:17,6/03/2018,27-Feb-18,0.082,7,0.46,5632.07,75.04711853229276
A31,11:05:17,6/03/2018,27-Feb-18,0.069,7,0.46,4416.27,66.45502238356406
A49,11:05:17,6/03/2018,27-Feb-18,0.095,7,0.46,2837.72,53.27025436395062
