fish_rich,anemone_rich,annelid_rich,arthropod_rich,coral_rich,mollusc_rich,octocoral_rich,sponge_rich,total_rich,Reef complexity,No tall corals,No corals,Sponge max height,Octocoral max height,Slope angle,Country
9,1,1,1,5,1,2,6,25,1,0,14,5,13,0,SVG
17,1,0,2,5,0,4,10,39,1,0,17,6,24,0,SVG
22,1,2,2,7,0,4,14,52,1,0,28,12,15,0,SVG
13,1,1,1,5,1,3,17,42,1,0,17,11,121,5,SVG
18,1,2,1,5,0,6,17,51,1,0,23,13,27,5,SVG
20,1,2,3,6,1,2,16,51,1,0,21,38,18,0,SVG
15,1,1,1,6,2,6,19,49,1,0,22,31,91,5,SVG
18,1,2,3,5,2,4,17,50,1,0,12,14,47,5,SVG
19,1,1,2,6,1,4,18,51,1,1,20,34,29,0,SVG
15,2,1,5,11,0,9,9,52,2,2,114,0,0,25,SVG
23,1,2,4,13,0,6,13,62,2,2,159,20,61,25,SVG
23,1,2,1,13,0,11,15,66,2,0,149,10,120,30,SVG
26,1,1,5,13,0,13,17,76,2,3,221,32,125,30,SVG
25,1,3,2,13,1,9,17,71,3,2,159,17,156,25,SVG
24,2,1,3,11,2,9,20,70,2,4,197,38,138,20,SVG
22,2,3,5,12,2,15,18,77,3,2,243,34,152,20,SVG
29,1,2,2,12,3,8,12,66,5,6,154,3,93,15,SVG
27,1,3,3,6,3,6,12,61,5,4,120,3,50,15,SVG
26,1,1,1,12,2,8,20,69,2,1,247,15,62,10,SVG
27,1,2,3,10,2,8,11,63,5,15,199,3,82,35,SVG
18,1,3,1,11,1,8,8,51,5,11,172,3,69,30,SVG
20,1,3,1,12,4,5,13,56,5,11,221,6,73,35,SVG
17,1,2,1,11,4,9,13,54,5,1,227,5,80,40,SVG
25,2,2,3,7,3,7,9,57,5,5,172,2,84,35,SVG
19,1,3,3,7,4,6,10,51,5,8,224,43,88,30,SVG
24,1,4,2,9,3,6,10,57,3,4,188,24,156,15,SVG
22,1,4,3,6,2,5,6,49,5,9,153,3,56,30,SVG
