Alopacce,Alopcune,Alopfabr,Arctlute,Arctperi,Auloalbi,Pardlugu,Pardmont,Pardnigr,Pardpull,Trocterr,Zoraspin
25,10,0,0,0,4,0,60,12,45,57,4
0,2,0,0,0,30,1,1,15,37,65,9
15,20,2,2,0,9,1,29,18,45,66,1
2,6,0,1,0,24,1,7,29,94,86,25
1,20,0,2,0,9,1,2,135,76,91,17
0,6,0,6,0,6,0,11,27,24,63,34
2,7,0,12,0,16,1,30,89,105,118,16
0,11,0,0,0,7,55,2,2,1,30,3
1,1,0,0,0,0,0,26,1,1,2,0
3,0,1,0,0,0,0,22,0,0,1,0
15,1,2,0,0,1,0,95,0,1,4,0
16,13,0,0,0,0,0,96,1,8,13,0
3,43,1,2,0,18,1,24,53,72,97,22
0,2,0,1,0,4,3,14,15,72,94,32
0,0,0,0,0,0,6,0,0,0,25,3
0,3,0,0,0,0,6,0,2,0,28,4
0,0,0,0,0,0,2,0,0,0,23,2
0,1,0,0,0,0,5,0,0,0,25,0
0,1,0,0,0,0,12,0,1,0,22,3
0,2,0,0,0,0,13,0,0,0,22,2
0,1,0,0,0,0,16,1,0,1,18,2
7,0,16,0,4,0,0,2,0,0,1,0
17,0,15,0,7,0,2,6,0,0,1,0
11,0,20,0,5,0,0,3,0,0,0,0
9,1,9,0,0,2,1,11,6,0,16,6
3,0,6,0,18,0,0,0,0,0,1,0
29,0,11,0,4,0,0,1,0,0,0,0
15,0,14,0,1,0,0,6,0,0,2,0
